# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.load.entities.ms,1705909209249000000,1705909269227000000,0
jps.facet.change.listener.before.change.events.ms,1705909209249000000,1705909269227000000,1
workspaceModel.save.cache.to.file.ms,1705909209249000000,1705909269227000000,69
jps.load.initial.state.ms,1705909209249000000,1705909269227000000,8
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705909209249000000,1705909269227000000,90
workspaceModel.orphan.listener.update.ms,1705909209249000000,1705909269227000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1705909209249000000,1705909269227000000,0
workspaceModel.global.updates.ms,1705909209249000000,1705909269227000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1705909209249000000,1705909269227000000,1
jps.app.storage.content.writer.save.component.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705909209249000000,1705909269227000000,1
jps.global.get.libraries.ms,1705909209249000000,1705909269227000000,0
jps.global.get.library.ms,1705909209249000000,1705909269227000000,0
jps.apply.loaded.storage.ms,1705909209249000000,1705909269227000000,144
workspaceModel.moduleBridge.update.option.ms,1705909209249000000,1705909269227000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1705909209249000000,1705909269227000000,300
workspaceModel.sync.entities.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1705909209249000000,1705909269227000000,84
workspaceModel.mutableEntityStorage.referrers.ms,1705909209249000000,1705909269227000000,0
jps.global.get.library.by.name.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1705909209249000000,1705909269227000000,12
workspaceModel.load.cache.from.file.ms,1705909209249000000,1705909269227000000,378
jps.global.initialize.library.bridges.after.loading.ms,1705909209249000000,1705909269227000000,0
jps.module.iml.entities.serializer.load.entities.ms,1705909209249000000,1705909269227000000,132
jps.module.iml.entities.serializer.save.entities.ms,1705909209249000000,1705909269227000000,0
jps.global.initialize.library.bridges.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleBridge.before.changed.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705909209249000000,1705909269227000000,794
jps.facet.change.listener.init.bridge.ms,1705909209249000000,1705909269227000000,0
jps.project.serializers.save.ms,1705909209249000000,1705909269227000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1705909209249000000,1705909269227000000,0
jps.app.storage.content.reader.load.component.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705909209249000000,1705909269227000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1705909209249000000,1705909269227000000,0
jps.library.entities.serializer.save.entities.ms,1705909209249000000,1705909269227000000,0
jps.global.handle.before.change.events.ms,1705909209249000000,1705909269227000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1705909209249000000,1705909269227000000,34
workspaceModel.load.cache.metadata.from.file.ms,1705909209249000000,1705909269227000000,58
workspaceModel.global.apply.state.to.project.ms,1705909209249000000,1705909269227000000,51
workspaceModel.mutableEntityStorage.add.diff.ms,1705909209249000000,1705909269227000000,37
jps.load.project.to.empty.storage.ms,1705909209249000000,1705909269227000000,149
jps.artifact.entities.serializer.save.entities.ms,1705909209249000000,1705909269227000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1705909209249000000,1705909269227000000,1
jps.global.handle.changed.events.ms,1705909209249000000,1705909269227000000,0
workspaceModel.global.updates.count,1705909209249000000,1705909269227000000,1
jps.save.global.entities.ms,1705909209249000000,1705909269227000000,0
IndexesFlusher.totalContentionQuotaSpent,1705909209249000000,1705909269227000000,0
Indexes.stubs.lookupDurationMaxMs,1705909209249000000,1705909269227000000,0.0
IndexesFlusher.totalFlushes,1705909209249000000,1705909269227000000,116
Indexes.entries.lookupDurationMaxMs,1705909209249000000,1705909269227000000,0.0
IndexesFlusher.totalFlushesRetried,1705909209249000000,1705909269227000000,0
Indexes.stubs.lookupDurationAvgMs,1705909209249000000,1705909269227000000,0.0
Indexes.allKeys.lookupDuration90PMs,1705909209249000000,1705909269227000000,0.0
IndexesFlusher.totalFlushingTimeUs,1705909209249000000,1705909269227000000,400744
Indexes.stubs.lookupDuration90PMs,1705909209249000000,1705909269227000000,0.0
Indexes.stubs.lookups,1705909209249000000,1705909269227000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1705909209249000000,1705909269227000000,0.0
Indexes.entries.lookupDuration90PMs,1705909209249000000,1705909269227000000,0.0
Indexes.entries.lookups,1705909209249000000,1705909269227000000,0.0
